round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,360,340,160,140,340,340,320,
2,500,460,140,100,440,440,440,
3,620,540,120,80,560,560,0,
4,680,620,100,80,620,640,0,
5,780,720,100,40,720,720,0,
6,900,780,100,40,840,820,0,
7,920,860,100,40,900,860,0,
8,1020,880,80,20,1000,920,0,
9,1120,0,40,0,1060,1020,0,
10,1200,0,40,0,1120,1100,0,
11,1300,0,40,0,1140,1180,0,
12,1400,0,40,0,1200,1240,0,
13,1420,0,40,0,1260,1280,0,
14,1500,0,40,0,1320,1300,0,
15,1620,0,20,0,1360,1320,0,
16,1740,0,20,0,1380,1340,0,
17,1840,0,20,0,1420,1360,0,
18,1880,0,0,0,0,1400,0,
19,1960,0,0,0,0,0,0,
20,2080,0,0,0,0,0,0,
21,2160,0,0,0,0,0,0,
22,2200,0,0,0,0,0,0,
23,2220,0,0,0,0,0,0,
24,2300,0,0,0,0,0,0,
25,2420,0,0,0,0,0,0,
26,2500,0,0,0,0,0,0,
27,2520,0,0,0,0,0,0,
28,2540,0,0,0,0,0,0,
29,2560,0,0,0,0,0,0,
30,2600,0,0,0,0,0,0,
31,2640,0,0,0,0,0,0,
32,2680,0,0,0,0,0,0,
33,2740,0,0,0,0,0,0,
34,2820,0,0,0,0,0,0,
35,2900,0,0,0,0,0,0,
36,3000,0,0,0,0,0,0,
37,3040,0,0,0,0,0,0,
38,3080,0,0,0,0,0,0,
39,3140,0,0,0,0,0,0,
40,3180,0,0,0,0,0,0,
41,3260,0,0,0,0,0,0,
